model,training_count,seed_count,mae_mean,mae_sample_std,mse_mean,mse_sample_std,rmse_mean,rmse_sample_std,r2_mean,r2_sample_std,prediction_mean_mean,prediction_mean_sample_std,prediction_standard_deviation_mean,prediction_standard_deviation_sample_std,true_target_standard_deviation_mean,true_target_standard_deviation_sample_std,prediction_sd_ratio_mean,prediction_sd_ratio_sample_std,residual_mean_mean,residual_mean_sample_std,residual_standard_deviation_mean,residual_standard_deviation_sample_std,lowest_quintile_mae_mean,lowest_quintile_mae_sample_std,lowest_quintile_bias_mean,lowest_quintile_bias_sample_std,middle_60_percent_mae_mean,middle_60_percent_mae_sample_std,middle_60_percent_bias_mean,middle_60_percent_bias_sample_std,highest_quintile_mae_mean,highest_quintile_mae_sample_std,highest_quintile_bias_mean,highest_quintile_bias_sample_std,best_epoch_mean,best_epoch_sample_std,runtime_seconds_mean,runtime_seconds_sample_std
EvolveGCN-H,20,3,0.542741292504,0.493811974927,1.01506851738,1.49408781283,0.81200191573,0.730467048781,-76.1201457166,115.45180708,0.234264261508,0.0846790578706,0.805013304389,0.727067039164,0.11881791837,0.00384211274854,6.91402634364,6.46191041373,-0.0689055562872,0.0788416290288,0.810248641656,0.729422266024,0.28139003869,0.196511995982,0.0847193094773,0.055720299965,0.54647499109,0.486097188095,-0.049809077739,0.0431472281616,0.793255713836,0.821115115228,-0.277956786618,0.336744552706,150,66.302337817,161.333333333,49.3592274386
EvolveGCN-H,50,3,0.176703664346,0.103221177197,0.172653943486,0.246971684508,0.340620819184,0.291456860507,-12.0927192807,19.1075554732,0.316435252383,0.0157301162599,0.356862701393,0.295276544856,0.11881791837,0.00384211274854,3.05979136475,2.63245875446,0.0132654345877,0.0222070160053,0.341090289529,0.291549389727,0.111250624303,0.0539138493371,0.036585302978,0.0594929476031,0.149290832558,0.0746752242817,0.0118193684944,0.0309464784083,0.32172077714,0.236114114345,-0.00585731514162,0.0795334119337,62.6666666667,41.8847625436,119.666666667,40.203648259
EvolveGCN-H,100,3,0.164244278067,0.132782495557,0.0737773634056,0.104697137241,0.224030527059,0.18809978609,-4.59296498721,8.10273097888,0.284788806603,0.0161026871694,0.222883072671,0.191451850229,0.11881791837,0.00384211274854,1.91248532764,1.7045491229,-0.018381011192,0.00974495457963,0.223740008251,0.188481360125,0.107700366799,0.0672796645973,0.0622928106203,0.00456026524456,0.146526726354,0.11862189488,-0.0119275687789,0.013142813762,0.272212302842,0.239411392046,-0.117785556106,0.0185697917756,68.3333333333,29.3995464818,174.666666667,39.715656023
EvolveGCN-H,200,3,0.0704477634497,0.000927635248848,0.00845618188273,0.000558387472057,0.0919246357798,0.00301078548407,0.397555304361,0.0399046808138,0.305624927454,0.0132268314836,0.110751820186,0.00538690132932,0.11881791837,0.00384211274854,0.933020068188,0.0604511476556,0.00245510965932,0.00716127381805,0.0919415354903,0.0026829930928,0.0676160619511,0.00883997564234,0.0596947504011,0.0127219121209,0.0621262281215,0.00144909825393,0.00363919706572,0.00489574666712,0.0974322138278,0.000562221316869,-0.0582212725791,0.013567703169,66.3333333333,27.3191019862,270,68
EvolveGCN-H,450,3,0.0637782685595,0.00416413857061,0.00628037121554,0.000795797456552,0.079138486619,0.00511925060799,0.554428216915,0.0301632097782,0.310058931114,0.0118275707082,0.0937099569036,0.00454316021488,0.11881791837,0.00384211274854,0.789577022449,0.0540479029929,0.00688911331926,0.0150534084708,0.0780593698238,0.00533646669239,0.0668666035664,0.0169651875842,0.0586905197157,0.0165663134238,0.0558239175242,0.00374029142667,0.0157566496722,0.0150167011777,0.0837769524111,0.0108909299421,-0.070649776638,0.0232246814254,36.3333333333,12.0554275467,373.666666667,56.2968323561
EvolveGCN-H,700,3,0.0579759082935,0.00334505493216,0.00563797827873,0.00109783342854,0.0748471858801,0.00733590940836,0.594620176769,0.104979997309,0.313516572834,0.00610727623535,0.105317539137,0.00541368479941,0.11881791837,0.00384211274854,0.887988478514,0.0751800609781,0.0103467550394,0.0130793974862,0.0736464770321,0.00549863344061,0.0615637385991,0.00450675446996,0.0478242566673,0.0109230757773,0.0519665462964,0.00508918085277,0.018254719612,0.0143204110305,0.0718298847598,0.00553191898939,-0.0500831315672,0.0164301268149,102.333333333,73.5277725307,1017,502.862804351
Static GCN,20,3,0.0687351595629,0.00564551762436,0.00735112086089,0.000979547473102,0.0856080208834,0.00579494883216,0.478441494873,0.0415820957316,0.306429176102,0.00998477150297,0.0954993147445,0.0046033260704,0.11881791837,0.00384211274854,0.804696928397,0.0559342221801,0.00325935830673,0.00307281241278,0.085725241936,0.00575194339629,0.0783617241475,0.00522432064013,0.0703985316119,0.0187204219337,0.0588587014114,0.00603745777211,0.00752587670706,0.00246225680145,0.0877744125399,0.0069403330437,-0.0762631245018,0.00654694509364,45.6666666667,19.5021366351,21.6666666667,0.57735026919
Static GCN,50,3,0.0582235434261,0.00579118156987,0.00521335321561,0.000861702564143,0.0720412651438,0.00592570655079,0.625635135897,0.0864013008666,0.305417742945,0.00711840894345,0.0934968933881,0.0134109804035,0.11881791837,0.00384211274854,0.785098668544,0.0906404257698,0.00224792514966,0.0105968584722,0.0716664470728,0.0058769032631,0.0634877790765,0.0173455196818,0.0579747248714,0.0194120134275,0.050359541712,0.00345085053894,0.00627683583094,0.0103945240089,0.0757840932385,0.00475010698729,-0.0651725421592,0.0194910624732,107,18.5202591775,33.6666666667,2.88675134595
Static GCN,100,3,0.0506208747329,0.000909682032272,0.00411744096788,0.000253168693849,0.0641472900345,0.00196194385038,0.706390354202,0.0237127888116,0.304098389511,0.00539497241373,0.0972333634317,0.00738544962553,0.11881791837,0.00384211274854,0.817556467427,0.0363840960991,0.00092857171647,0.0123410732579,0.0634902189899,0.0024833371528,0.0506315307646,0.0123303171232,0.0475566464711,0.0110745834633,0.0453943986686,0.00372136823577,0.00455839376824,0.0166654922341,0.0657797467902,0.0112586424651,-0.0562348402128,0.00238529310232,67.3333333333,18.876793513,35.3333333333,2.88675134595
Static GCN,200,3,0.0460801839483,0.00175377921222,0.00331793978738,0.000206672570154,0.0575832279542,0.0017797383602,0.763732283918,0.011939888288,0.306890037448,0.00607734938585,0.100517299672,0.00247254390407,0.11881791837,0.00384211274854,0.846472678693,0.030436991393,0.00372021965324,0.00301015432785,0.0575505765705,0.00192892410403,0.0462192888182,0.00465605733309,0.042270723276,0.00594839942697,0.0430216666113,0.00511557889909,0.00797472752276,0.00262820767658,0.0548182391539,0.00215442262264,-0.0471787336396,0.00571381683568,88,24.5560583156,58.3333333333,10.5039675044
Static GCN,450,3,0.0421348190673,0.00378024545614,0.00292162750146,0.00037105145519,0.0539796843162,0.00342516771472,0.792589541582,0.0158584479081,0.300177260245,0.00931271761633,0.103832178662,0.00489293751637,0.11881791837,0.00384211274854,0.874238627387,0.0422728648456,-0.00299255755015,0.0102418362669,0.0534111523382,0.00251131730212,0.035291284565,0.00653217945074,0.0308844455616,0.00980080281703,0.0409853017213,0.00725686956094,0.00090293703126,0.0125857887113,0.0523147575739,0.00459308749241,-0.0481759961543,0.00809377974899,98.3333333333,24.4199372099,111.666666667,16.2583311977
Static GCN,700,3,0.039673901872,0.00305240500608,0.0026046133813,0.000316805697944,0.0509741057141,0.00306282417435,0.81489774138,0.0157256361446,0.301204271911,0.00793499218162,0.101577649836,0.00192091476386,0.11881791837,0.00384211274854,0.855343982662,0.0249062057531,-0.00196554588392,0.0100256668594,0.0504305000648,0.00218198761866,0.032448956334,0.00478692977705,0.0301753054184,0.00526174994956,0.0375929948579,0.00448081627412,0.00357197308574,0.0124963200201,0.0529385531336,0.00768327500044,-0.050178708342,0.00914964085563,78,8.66025403784,133.666666667,6.42910050733
